dataset,market,ins_id,file_path,status,rows,fetched_at,attempts,last_error,source
prices,NO,2095,prices__NO__2095.parquet,ok,1254,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2096,prices__NO__2096.parquet,ok,1258,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2115,prices__NO__2115.parquet,ok,1231,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2116,prices__NO__2116.parquet,ok,1233,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2126,prices__NO__2126.parquet,ok,1227,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2139,prices__NO__2139.parquet,ok,1218,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2160,prices__NO__2160.parquet,ok,1221,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2162,prices__NO__2162.parquet,ok,1216,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2163,prices__NO__2163.parquet,ok,1219,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2164,prices__NO__2164.parquet,ok,1211,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2167,prices__NO__2167.parquet,ok,1238,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2170,prices__NO__2170.parquet,ok,1247,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2171,prices__NO__2171.parquet,ok,1197,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2172,prices__NO__2172.parquet,ok,1190,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2179,prices__NO__2179.parquet,ok,1186,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2180,prices__NO__2180.parquet,ok,1186,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2191,prices__NO__2191.parquet,ok,1179,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2203,prices__NO__2203.parquet,ok,1174,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2216,prices__NO__2216.parquet,ok,1176,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2217,prices__NO__2217.parquet,ok,1176,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2224,prices__NO__2224.parquet,ok,1171,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2236,prices__NO__2236.parquet,ok,1164,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2243,prices__NO__2243.parquet,ok,1158,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2264,prices__NO__2264.parquet,ok,1136,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2266,prices__NO__2266.parquet,ok,1143,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2267,prices__NO__2267.parquet,ok,1137,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2270,prices__NO__2270.parquet,ok,1110,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2271,prices__NO__2271.parquet,ok,1100,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2272,prices__NO__2272.parquet,ok,1101,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2285,prices__NO__2285.parquet,ok,1087,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2344,prices__NO__2344.parquet,ok,1059,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2349,prices__NO__2349.parquet,ok,1048,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2353,prices__NO__2353.parquet,ok,1045,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2355,prices__NO__2355.parquet,ok,1043,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2367,prices__NO__2367.parquet,ok,1004,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2374,prices__NO__2374.parquet,ok,990,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2384,prices__NO__2384.parquet,ok,975,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2406,prices__NO__2406.parquet,ok,922,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2407,prices__NO__2407.parquet,ok,911,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2421,prices__NO__2421.parquet,ok,2506,2026-02-20T08:37:23.636157+00:00,1,,api
prices,NO,2422,prices__NO__2422.parquet,ok,2506,2026-02-20T08:37:23.636157+00:00,1,,api
